Time,SystemTime,Packet,S1GX,S1GY,S1GZ,S1AX,S1AY,S1AZ,S2GX,S2GY,S2GZ,S2AX,S2AY,S2AZ,MX,MY
248049619,9.53674316406e-07,21563,-126,59,-876,32760,32760,-32760,35,-3,230,2563,-11925,-12108,0,0
248061070,0.0115060806274,21564,-82,4,-852,32760,32760,-32760,35,-3,230,2563,-11925,-12108,0,0
248072521,0.0225989818573,21565,-90,-23,-889,32760,32760,-32760,35,-3,230,2578,-11793,-12091,0,0
248083972,0.0367019176483,21566,-40,-33,-929,32760,32760,-32760,35,-3,230,2555,-11791,-12099,0,0
248095424,0.0458130836487,21567,-167,-43,-1019,32760,32760,-32760,35,-3,230,2555,-11791,-12099,0,0
248106875,0.0588989257812,21568,-48,-9,-917,32760,32760,-32760,35,-3,230,2685,-11743,-12149,0,0
248118326,0.0688369274139,21569,16,172,-946,32760,32760,-32760,35,-3,230,2685,-11743,-12149,0,0
248129779,0.0798509120941,21570,-29,57,-929,32760,32760,-32760,35,-3,230,2752,-11626,-11716,0,0
248141232,0.0921249389648,21571,-7,29,-897,32760,32760,-32760,35,-3,230,2752,-11626,-11716,0,0
248152684,0.103327989578,21572,-36,-53,-839,32760,32760,-32760,35,-3,230,2662,-11745,-12049,0,0
248164135,0.114565134048,21573,145,-169,-858,32760,32760,-32760,35,-3,230,2628,-11888,-11851,0,0
248175586,0.125527143478,21574,-281,-10,-802,32760,32760,-32760,35,-3,230,2628,-11888,-11851,0,0
248187036,0.137715101242,21575,-363,-12,-882,32760,32760,-32760,35,-3,230,2766,-11685,-12114,0,0
248198488,0.148463010788,21576,-126,58,-895,32760,32760,-32760,35,-3,230,2766,-11685,-12114,0,0
248209942,0.160520076752,21577,-122,70,-904,32760,32760,-32760,35,-3,230,2621,-11704,-11890,0,0
248221393,0.171829938889,21578,-198,250,-879,32760,32760,-32760,35,-3,230,2621,-11704,-11890,0,0
248232843,0.185387134552,21579,86,150,-1048,32760,32760,-32760,35,-3,230,2647,-11612,-12002,0,0
248244295,0.194800138474,21580,-16,156,-919,32760,32760,-32760,35,-3,230,2817,-11743,-11788,0,0
248255749,0.20569396019,21581,-128,-20,-906,32760,32760,-32760,35,-3,230,2817,-11743,-11788,0,0
248267202,0.220415115356,21582,-237,175,-802,32760,32760,-32760,35,-3,230,2657,-11641,-11829,0,0
248278655,0.228708028793,21583,-130,-18,-877,32760,32760,-32760,35,-3,230,2657,-11641,-11829,0,0
248290107,0.240500926971,21584,-116,170,-806,32760,32760,-32760,35,-3,230,2613,-11598,-12126,0,0
248301560,0.251626968384,21585,241,69,-943,32760,32760,-32760,35,-3,230,2613,-11598,-12126,0,0
248313013,0.263581991196,21586,71,215,-924,32760,32760,-32760,35,-3,230,2718,-11658,-12080,0,0
248324468,0.274908065796,21587,139,151,-932,32760,32760,-32760,35,-3,230,2536,-11811,-11998,1,0
248335919,0.286746025085,21588,171,243,-928,32760,32760,-32760,35,-3,230,2536,-11811,-11998,0,0
248347372,0.297574043274,21589,-149,447,-962,32760,32760,-32760,35,-3,230,2700,-12045,-11878,0,0
248358822,0.308892965317,21590,-204,413,-1018,32760,32760,-32760,35,-3,230,2700,-12045,-11878,0,0
248370275,0.321316003799,21591,-473,334,-1052,32760,32760,-32760,35,-3,230,2820,-11735,-12024,0,0
248381728,0.331754922867,21592,-551,506,-1073,32760,32760,-32760,35,-3,230,2820,-11735,-12024,0,0
248393179,0.343532085419,21593,-677,422,-953,32760,32760,-32760,35,-3,230,2663,-11689,-11999,0,0
248404632,0.359362125397,21594,-610,248,-936,32760,32760,-32760,35,-3,230,2736,-11866,-11954,0,0
248416083,0.366938114166,21595,-530,99,-812,32760,32760,-32760,35,-3,230,2736,-11866,-11954,0,0
248427537,0.377490997314,21596,-614,122,-773,32760,32760,-32760,35,-3,230,2716,-11462,-12338,0,0
248438988,0.389531135559,21597,-574,259,-706,32760,32760,-32760,35,-3,230,2716,-11462,-12338,0,0
