Time,SystemTime,Packet,S1GX,S1GY,S1GZ,S1AX,S1AY,S1AZ,S2GX,S2GY,S2GZ,S2AX,S2AY,S2AZ,MX,MY
391942390,1.90734863281e-06,34107,-184,161,-766,32760,32760,-32760,35,-3,230,3675,-11280,-12153,0,0
391953841,0.0119469165802,34108,-171,54,-934,32760,32760,-32760,35,-3,230,3604,-11069,-12533,0,0
391965294,0.0229539871216,34109,-95,-43,-868,32760,32760,-32760,35,-3,230,3604,-11069,-12533,0,0
391976745,0.0388338565826,34110,-82,15,-911,32760,32760,-32760,35,-3,230,3541,-11205,-12614,0,0
391988196,0.0467488765717,34111,-84,-10,-899,32760,32760,-32760,35,-3,230,3541,-11205,-12614,0,0
391999647,0.0579669475555,34112,-88,175,-771,32760,32760,-32760,35,-3,230,3604,-11193,-12358,0,0
392011100,0.0701780319214,34113,-45,86,-776,32760,32760,-32760,35,-3,230,3469,-11350,-12138,0,0
392022552,0.0822849273682,34114,-206,166,-798,32760,32760,-32760,35,-3,230,3469,-11350,-12138,0,0
392034004,0.0919818878174,34115,-65,78,-852,32760,32760,-32760,35,-3,230,3480,-11278,-12352,0,0
392045455,0.10351395607,34116,-93,58,-979,32760,32760,-32760,35,-3,230,3480,-11278,-12352,0,0
392056906,0.115221977234,34117,-42,32,-929,32760,32760,-32760,35,-3,230,3575,-11263,-12196,0,0
392068359,0.126004934311,34118,55,31,-954,32760,32760,-32760,35,-3,230,3575,-11263,-12196,0,0
392079811,0.138062953949,34119,-13,-22,-977,32760,32760,-32760,35,-3,230,3591,-11149,-12073,0,0
392091263,0.148994922638,34120,20,-10,-921,32760,32760,-32760,35,-3,230,3566,-11239,-12180,0,0
392102714,0.162792921066,34121,-143,66,-876,32760,32760,-32760,35,-3,230,3566,-11239,-12180,0,0
392114167,0.173583030701,34122,-129,12,-841,32760,32760,-32760,35,-3,230,3496,-11217,-12343,0,0
392125620,0.183980941772,34123,-100,21,-1023,32760,32760,-32760,35,-3,230,3496,-11217,-12343,0,0
392137075,0.194965839386,34124,-145,95,-782,32760,32760,-32760,35,-3,230,3530,-11326,-12141,0,0
392148526,0.207526922226,34125,-72,14,-873,32760,32760,-32760,35,-3,230,3530,-11326,-12141,0,0
392159979,0.218323945999,34126,-368,180,-833,32760,32760,-32760,35,-3,230,3521,-11346,-12255,0,0
392171432,0.229014873505,34127,-189,2,-957,32760,32760,-32760,35,-3,230,3519,-11067,-12558,0,0
392182884,0.24177980423,34128,-95,35,-1018,32760,32760,-32760,35,-3,230,3519,-11067,-12558,0,0
392194337,0.252019882202,34129,-43,11,-946,32760,32760,-32760,35,-3,230,3642,-10944,-12662,0,0
392205787,0.264654874802,34130,-43,44,-910,32760,32760,-32760,35,-3,230,3642,-10944,-12662,0,0
392217238,0.276265859604,34131,-59,98,-807,32760,32760,-32760,35,-3,230,3635,-11077,-12560,0,0
392228690,0.287065029144,34132,106,80,-912,32760,32760,-32760,35,-3,230,3635,-11077,-12560,0,0
392240144,0.298216819763,34133,-121,165,-800,32760,32760,-32760,35,-3,230,3545,-11329,-12317,0,0
392251596,0.312399864197,34134,32,76,-867,32760,32760,-32760,35,-3,230,3639,-11315,-12194,0,0
392263049,0.321664810181,34135,-101,76,-861,32760,32760,-32760,35,-3,230,3639,-11315,-12194,0,0
392274500,0.332072973251,34136,-222,92,-862,32760,32760,-32760,35,-3,230,3402,-11359,-12168,0,0
392285951,0.344115018845,34137,-89,-82,-960,32760,32760,-32760,35,-3,230,3402,-11359,-12168,0,0
392297404,0.355235815048,34138,-57,38,-943,32760,32760,-32760,35,-3,230,3561,-11154,-12162,0,0
392308855,0.367131948471,34139,-191,52,-910,32760,32760,-32760,35,-3,230,3561,-11154,-12162,0,0
392320308,0.378039836884,34140,-158,137,-852,32760,32760,-32760,35,-3,230,3538,-11175,-12527,0,0
392331760,0.390419006348,34141,-12,35,-917,32760,32760,-32760,35,-3,230,3501,-11209,-12340,0,0
392343213,0.40128993988,34142,-136,67,-905,32760,32760,-32760,35,-3,230,3501,-11209,-12340,0,0
392354665,0.413389921188,34143,-122,103,-852,32760,32760,-32760,35,-3,230,3605,-11239,-12386,0,0
392366118,0.424031972885,34144,-94,34,-819,32760,32760,-32760,35,-3,230,3605,-11239,-12386,0,0
392377569,0.438407897949,34145,59,-152,-921,32760,32760,-32760,35,-3,230,3520,-11434,-12134,0,0
392389021,0.450888872147,34146,-304,55,-947,32760,32760,-32760,35,-3,230,3520,-11434,-12134,0,0
392400473,0.458163976669,34147,-67,-73,-976,32760,32760,-32760,35,-3,230,3357,-11414,-12143,0,0
392411924,0.470724821091,34148,-113,114,-933,32760,32760,-32760,35,-3,230,3637,-11160,-12328,0,0
392423376,0.481547832489,34149,-180,38,-846,32760,32760,-32760,35,-3,230,3637,-11160,-12328,0,0
392434828,0.493517875671,34150,-157,26,-835,32760,32760,-32760,35,-3,230,3534,-11081,-12347,0,0
392446280,0.505261898041,34151,23,56,-884,32760,32760,-32760,35,-3,230,3534,-11081,-12347,0,0
392457730,0.516687870026,34152,-76,171,-831,32760,32760,-32760,35,-3,230,3605,-11163,-12493,0,0
392469184,0.540386915207,34153,-33,141,-857,32760,32760,-32760,35,-3,230,3605,-11163,-12493,0,0
392480636,0.541131973267,34154,-138,171,-748,32760,32760,-32760,35,-3,230,3642,-11155,-12497,0,0
392492090,0.550441980362,34155,-154,109,-836,32760,32760,-32760,35,-3,230,3492,-11357,-12018,0,0
392503542,0.562093019485,34156,-151,64,-892,32760,32760,-32760,35,-3,230,3492,-11357,-12018,0,0
392514994,0.57347202301,34157,-64,-8,-986,32760,32760,-32760,35,-3,230,3577,-11290,-12345,0,0
392526445,0.584683895111,34158,-130,-157,-1083,32760,32760,-32760,35,-3,230,3577,-11290,-12345,0,0
392537899,0.596757888794,34159,-76,-32,-932,32760,32760,-32760,35,-3,230,3513,-11119,-12299,0,0
392549355,0.607733011246,34160,-18,-7,-945,32760,32760,-32760,35,-3,230,3513,-11119,-12299,0,0
392560805,0.62042093277,34161,-97,15,-917,32760,32760,-32760,35,-3,230,3525,-11360,-12394,0,0
392572258,0.630813837051,34162,-30,22,-966,32760,32760,-32760,35,-3,230,3443,-11272,-12127,0,0
392583710,0.643234968185,34163,150,-150,-878,32760,32760,-32760,35,-3,230,3443,-11272,-12127,0,0
392595163,0.653059005737,34164,-196,-11,-743,32760,32760,-32760,35,-3,230,3624,-11412,-12450,0,0
392606615,0.665679931641,34165,311,-190,-1165,32760,32760,-32760,35,-3,230,3624,-11412,-12450,0,0
392618068,0.677525997162,34166,-70,84,-786,32760,32760,-32760,35,-3,230,3526,-10466,-12220,0,0
392629518,0.687035799026,34167,342,-200,-1032,32760,32760,-32760,35,-3,230,3526,-10466,-12220,0,0
392640969,0.699146986008,34168,239,-84,-1135,32760,32760,-32760,35,-3,230,3541,-11255,-12099,0,0
392652422,0.713440895081,34169,792,-293,-1303,32760,32760,-32760,35,-3,230,3429,-11057,-12017,0,0
392663873,0.722128868103,34170,1399,-132,-1358,32760,32760,-32760,35,-3,230,3429,-11057,-12017,0,0
392675325,0.733168840408,34171,2106,-27,-1107,32760,32760,-32760,35,-3,230,3302,-11218,-12334,0,0
392686775,0.745229005814,34172,2256,114,-979,32760,32760,-32760,35,-3,230,3302,-11218,-12334,0,0
392698229,0.756347894669,34173,2525,248,-772,32760,32760,-32760,35,-3,230,3665,-11383,-12073,0,0
392709680,0.768124818802,34174,2613,38,-869,32760,32760,-32760,35,-3,230,3665,-11383,-12073,0,0
392721133,0.779170036316,34175,2756,95,-818,32760,32760,-32760,35,-3,230,3701,-11883,-11408,0,0
392732585,0.791025876999,34176,2945,231,-563,32760,32760,-32760,35,-3,230,3791,-11645,-11868,0,0
392744037,0.804103851318,34177,3123,233,-429,32760,32760,-32760,35,-3,230,3791,-11645,-11868,0,0
392755489,0.813556909561,34178,3152,204,-391,32760,32760,-32760,35,-3,230,3699,-11655,-11741,0,0
392766940,0.825269937515,34179,2667,72,-484,32760,32760,-32760,35,-3,230,3699,-11655,-11741,0,0
392778392,0.83746099472,34180,1846,0,-615,32760,32760,-32760,35,-3,230,3681,-11652,-12097,0,0
392789842,0.848240852356,34181,1721,80,-616,32760,32760,-32760,35,-3,230,3681,-11652,-11841,0,0
392801295,0.859019994736,34182,1953,207,-785,32760,32760,-32760,35,-3,230,3509,-12135,-12006,0,0
392812746,0.871788024902,34183,1961,297,-747,32760,32760,-32760,35,-3,230,3366,-11944,-11633,0,0
392824201,0.88202881813,34184,2148,215,-824,32760,32760,-32760,35,-3,230,3366,-11944,-11633,0,0
392835653,0.894044876099,34185,2370,448,-871,32760,32760,-32760,35,-3,230,3450,-11965,-11677,0,0
392847106,0.906438827515,34186,2477,574,-743,32760,32760,-32760,35,-3,230,3450,-11965,-11677,0,0
392858559,0.917114973068,34187,2323,519,-659,32760,32760,-32760,35,-3,230,3447,-12224,-11447,0,0
392870011,0.928020000458,34188,2224,498,-668,32760,32760,-32760,35,-3,230,3447,-12224,-11371,0,0
392881462,0.941315889359,34189,2215,351,-740,32760,32760,-32760,35,-3,230,3420,-11954,-11371,0,0
392892915,0.951031923294,34190,1903,542,-729,32760,32760,-32760,35,-3,230,3445,-12113,-11015,0,0
392904367,0.962080001831,34191,1748,568,-620,32760,32760,-32760,35,-3,230,3445,-12113,-11015,0,0
392915817,0.974305868149,34192,1678,453,-659,32760,32760,-32760,35,-3,230,3434,-12277,-11399,0,0
392927270,0.985776901245,34193,1533,544,-661,32760,32760,-32760,35,-3,230,3434,-12277,-11399,0,0
392938724,0.997776985168,34194,1426,590,-641,32760,32760,-32760,35,-3,230,3628,-12297,-11410,0,0
392950181,1.00852489471,34195,1631,636,-734,32760,32760,-32760,35,-3,230,3628,-12271,-11276,0,0
392961635,1.02061986923,34196,1900,750,-809,32760,32760,-32760,35,-3,230,3533,-12271,-11276,0,0
392973090,1.03113698959,34197,1836,729,-999,32760,32760,-32760,35,-3,230,3493,-12361,-11665,0,0
392984541,1.04312181473,34198,2074,874,-1173,32760,32760,-32760,35,-3,230,3493,-12361,-11665,0,0
392995995,1.05444502831,34199,2097,870,-1115,32760,32760,-32760,35,-3,230,3799,-12544,-11133,0,0
393007446,1.0650498867,34200,1680,917,-1086,32760,32760,-32760,35,-3,230,3799,-12544,-11133,0,0
393018900,1.081635952,34201,1540,829,-1124,32760,32760,-32760,35,-3,230,3356,-12302,-10956,0,0
393030353,1.08905792236,34202,1301,970,-1079,32760,32760,-32760,35,-3,230,3591,-12721,-10352,0,0
393041803,1.10022187233,34203,1117,837,-1153,32760,32760,-32760,35,-3,230,3591,-12721,-10352,0,0
393053257,1.11120295525,34204,957,816,-1361,32760,32760,-32760,35,-3,230,3716,-12574,-10765,0,0
393064709,1.12356686592,34205,766,964,-1253,32760,32760,-32760,35,-3,230,3716,-12574,-10765,0,0
393076162,1.13401985168,34206,956,901,-1255,32760,32760,-32760,35,-3,230,4279,-12687,-10529,0,0
393087612,1.14822101593,34207,1271,707,-1298,32760,32760,-32760,35,-3,230,4279,-12687,-10529,0,0
393099066,1.15713596344,34208,1703,601,-1232,32760,32760,-32760,35,-3,230,4532,-12719,-10536,0,0
393110517,1.17723202705,34209,1490,331,-1251,32760,32760,-32760,35,-3,230,5120,-13239,-10120,0,0
393121969,1.18064188957,34210,1208,245,-1345,32760,32760,-32760,35,-3,230,5120,-13239,-10120,0,0
393133423,1.19143795967,34211,1053,-2,-1418,32760,32760,-32760,35,-3,230,4979,-13194,-9345,0,0
393144874,1.20331192017,34212,887,122,-1433,32760,32760,-32760,35,-3,230,4979,-13194,-9345,0,0
393156326,1.21596384048,34213,641,160,-1238,32760,32760,-32760,35,-3,230,5545,-13101,-9352,0,0
393167777,1.22632598877,34214,414,-125,-1444,32760,32760,-32760,35,-3,230,5545,-13101,-9352,0,0
393179231,1.23885703087,34215,1008,-236,-1370,32760,32760,-32760,35,-3,230,4578,-12899,-9723,0,0
393190683,1.24900388718,34216,877,-235,-1260,32760,32760,-32760,35,-3,230,4560,-13521,-10355,0,0
393202136,1.26055788994,34217,419,-502,-1203,32760,32760,-32760,35,-3,230,4560,-13521,-10355,0,0
393213588,1.27276301384,34218,-225,-578,-1184,32760,32760,-32760,35,-3,230,4110,-13269,-9889,0,0
393225041,1.28310680389,34219,-629,-818,-1301,32760,32760,-32760,35,-3,230,4110,-13269,-9889,0,0
393236493,1.29566383362,34220,-927,-919,-1423,32760,32760,-32760,35,-3,230,3291,-12562,-9800,0,0
393247945,1.31401801109,34221,-416,-1127,-1984,32760,32760,-32760,35,-3,230,3291,-12562,-9800,0,0
393259396,1.31718802452,34222,31,-1240,-1426,32760,32760,-32760,35,-3,230,3945,-12087,-9850,0,0
393270848,1.3290348053,34223,447,-1349,-1570,32760,32760,-32760,35,-3,230,3838,-11501,-10461,0,0
393282302,1.34109401703,34224,597,-1424,-1318,32760,32760,-32760,35,-3,230,3838,-11501,-10461,0,0
393293756,1.35210394859,34225,830,-1505,-1061,32760,32760,-32760,35,-3,230,3317,-11295,-11151,0,0
393305209,1.3631029129,34226,731,-1457,-950,32760,32760,-32760,35,-3,230,3317,-11295,-11151,0,0
393316661,1.37511396408,34227,628,-1702,-799,32760,32760,-32760,35,-3,230,3201,-12054,-10487,0,0
393328115,1.38610601425,34228,623,-1802,-496,32760,32760,-32760,35,-3,230,3201,-12054,-10487,0,0
393339568,1.3983039856,34229,710,-1862,-95,32760,32760,-32760,35,-3,230,2760,-12006,-9856,0,0
393351021,1.41018795967,34230,1017,-1869,309,32760,32760,-32760,35,-3,230,2514,-11570,-10347,0,0
393362473,1.42072200775,34231,1282,-1920,590,32760,32760,-32760,35,-3,230,2514,-11570,-10347,0,0
393373926,1.43269896507,34232,1849,-1930,819,32760,32760,-32760,35,-3,230,2001,-11383,-11674,0,0
393385381,1.44628691673,34233,2857,-1973,821,32760,32760,-32760,35,-3,230,2001,-11383,-11674,0,0
393396835,1.45522999763,34234,3376,-2014,1692,32760,32760,-32760,35,-3,230,1461,-13685,-11566,0,0
393408289,1.46615695953,34235,3997,-1548,1878,32760,32760,-32760,35,-3,230,1461,-13685,-11566,0,0
393419742,1.47835803032,34236,3889,-934,1262,32760,32760,-32760,35,-3,230,2388,-14497,-10239,0,0
393431197,1.48922395706,34237,3041,-597,1254,32760,32760,-32760,35,-3,230,2775,-14276,-9956,0,0
393442649,1.50104188919,34238,2745,-541,800,32760,32760,-32760,35,-3,230,2775,-14276,-9956,0,0
393454105,1.51292586327,34239,2124,-322,372,32760,32760,-32760,35,-3,230,2718,-14845,-10156,0,0
