Time,SystemTime,Packet,S1GX,S1GY,S1GZ,S1AX,S1AY,S1AZ,S2GX,S2GY,S2GZ,S2AX,S2AY,S2AZ,MX,MY
285282164,1.19209289551e-06,24804,7239,467,-645,32760,32760,-32760,35,-3,230,5378,-13323,-8920,0,0
285293615,0.0116531848907,24805,7587,18,-514,32760,32760,-32760,35,-3,230,5952,-13760,-8270,0,0
285305066,0.0232400894165,24806,6972,-937,-233,32760,32760,-32760,35,-3,230,6126,-14112,-7834,0,0
285316518,0.0335700511932,24807,6142,-1524,-83,32760,32760,-32760,35,-3,230,6126,-14112,-7834,0,0
285327970,0.0455210208893,24808,5750,-2070,-208,32760,32760,-32760,35,-3,230,5613,-14724,-7949,0,0
285339424,0.0567820072174,24809,5161,-2396,-165,32760,32760,-32760,35,-3,230,5613,-14724,-7949,0,0
285350877,0.0687420368195,24810,4939,-2736,-138,32760,32760,-32760,35,-3,230,5216,-14311,-8213,0,0
285362331,0.0810890197754,24811,4806,-2943,-286,32760,32760,-32760,35,-3,230,5216,-14311,-8213,0,0
285373783,0.0918979644775,24812,4565,-3350,-344,32760,32760,-32760,35,-3,230,4735,-14487,-8204,0,0
285385236,0.102679014206,24813,4131,-3618,-630,32760,32760,-32760,35,-3,230,4245,-15299,-7021,0,0
285396689,0.114690065384,24814,3551,-3682,-807,32760,32760,-32760,35,-3,230,4245,-15299,-7021,0,0
285408145,0.12809419632,24815,2597,-3814,-908,32760,32760,-32760,35,-3,230,3700,-15594,-7109,0,0
285419596,0.137495994568,24816,974,-3962,-777,32760,32760,-32760,35,-3,230,3700,-15594,-7109,0,0
285431049,0.148869037628,24817,-298,-4333,-970,32760,32760,-32760,35,-3,230,3682,-13769,-8213,0,0
285442501,0.16276717186,24818,-876,-4406,-1087,32760,32760,-32760,35,-3,230,3682,-13769,-8213,0,0
285453954,0.171912193298,24819,-1376,-4056,-1117,32760,32760,-32760,35,-3,230,3824,-13706,-9128,0,0
285465410,0.183109998703,24820,-1260,-3854,-1330,32760,32760,-32760,35,-3,230,3306,-13835,-8694,0,0
285476862,0.198153018951,24821,-1226,-3821,-1374,32760,32760,-32760,35,-3,230,3306,-13835,-8694,0,0
285488316,0.206027984619,24822,-1748,-3613,-1197,32760,32760,-32760,35,-3,230,3136,-13690,-8601,0,0
285499770,0.217688083649,24823,-2224,-3495,-996,32760,32760,-32760,35,-3,230,3136,-13690,-8601,0,0
285511224,0.228593111038,24824,-2412,-3419,-1012,32760,32760,-32760,35,-3,230,2655,-13021,-9712,0,0
285522679,0.240605115891,24825,-2586,-3232,-1083,32760,32760,-32760,35,-3,230,2655,-13021,-9712,0,0
285534134,0.252107143402,24826,-2612,-2942,-1073,32760,32760,-32760,35,-3,230,2209,-13017,-9293,0,0
285545588,0.264451026917,24827,-2575,-2755,-1156,32760,32760,-32760,35,-3,230,1846,-13372,-9088,0,0
285557043,0.274713993073,24828,-2414,-2503,-1132,32760,32760,-32760,35,-3,230,1846,-13372,-9088,0,0
285568496,0.285536050797,24829,-2377,-2244,-1082,32760,32760,-32760,35,-3,230,1848,-13056,-9199,0,0
285579950,0.29764008522,24830,-2404,-1985,-902,32760,32760,-32760,35,-3,230,1848,-13056,-9199,0,0
285591405,0.308945178986,24831,-2416,-1869,-860,32760,32760,-32760,35,-3,230,1511,-12861,-9270,0,0
285602858,0.321614027023,24832,-2554,-1806,-789,32760,32760,-32760,35,-3,230,1511,-12861,-9270,0,0
285614313,0.331681013107,24833,-2520,-1699,-779,32760,32760,-32760,35,-3,230,1542,-12544,-9305,0,0
285625764,0.343499183655,24834,-2411,-1533,-963,32760,32760,-32760,35,-3,230,1849,-12239,-9858,0,0
285637220,0.356150150299,24835,-1957,-1564,-1128,32760,32760,-32760,35,-3,230,1849,-12239,-9858,0,0
285648674,0.366770029068,24836,-1822,-1428,-924,32760,32760,-32760,35,-3,230,2076,-11919,-9748,0,0
285660128,0.377776145935,24837,-1302,-1319,-895,32760,32760,-32760,35,-3,230,2076,-11919,-9748,0,0
285671581,0.389770030975,24838,-954,-1233,-756,32760,32760,-32760,35,-3,230,2249,-11837,-9701,0,0
285683035,0.400869131088,24839,-271,-1187,-466,32760,32760,-32760,35,-3,230,2249,-11837,-9701,0,0
285694487,0.411615133286,24840,267,-1027,207,32760,32760,-32760,35,-3,230,2420,-12523,-9754,0,0
285705940,0.423892021179,24841,699,-944,683,32760,32760,-32760,35,-3,230,2983,-13703,-10092,0,0
285717393,0.435286045074,24842,820,-905,651,32760,32760,-32760,35,-3,230,2983,-13703,-10092,0,0
285728843,0.446686029434,24843,566,-1153,945,32760,32760,-32760,35,-3,230,2451,-15224,-10805,0,0
285740296,0.458871126175,24844,149,-1119,639,32760,32760,-32760,35,-3,230,2451,-15224,-10805,0,0
285751749,0.46952009201,24845,-479,-983,157,32760,32760,-32760,35,-3,230,2761,-16441,-11373,0,0
285763204,0.480770111084,24846,-802,-818,-637,32760,32760,-32760,35,-3,230,2761,-16441,-11373,0,0
285774657,0.495061159134,24847,-950,-619,-1414,32760,32760,-32760,35,-3,230,2784,-14839,-10595,0,0
285786110,0.50453209877,24848,-766,-757,-1858,32760,32760,-32760,35,-3,230,2267,-13463,-10102,0,0
285797562,0.515026092529,24849,-898,-699,-1590,32760,32760,-32760,35,-3,230,2267,-13463,-10102,0,0
285809016,0.528971195221,24850,-1362,-758,-1389,32760,32760,-32760,35,-3,230,2426,-13080,-9791,0,0
285820470,0.539267063141,24851,-1771,-889,-1162,32760,32760,-32760,35,-3,230,2426,-13080,-9791,0,0
285831922,0.549559116364,24852,-2334,-874,-1027,32760,32760,-32760,35,-3,230,2534,-13135,-9996,0,0
285843376,0.562381029129,24853,-2220,-908,-1258,32760,32760,-32760,35,-3,230,2534,-13135,-10154,0,0
285854828,0.572741031647,24854,-2165,-878,-1146,32760,32760,-32760,35,-3,230,2448,-13400,-10154,-1,0
285866283,0.583584070206,24855,-1623,-712,-1287,32760,32760,-32760,35,-3,230,1830,-12902,-10934,-2,0
285877735,0.596302986145,24856,-874,-336,-1269,32760,32760,-32760,35,-3,230,1830,-12902,-10934,-2,0
285889190,0.606559038162,24857,-364,-165,-1321,32760,32760,-32760,35,-3,230,1280,-13445,-10344,-3,0
285900643,0.620002031326,24858,-499,-33,-1004,32760,32760,-32760,35,-3,230,1280,-13445,-10344,-3,0
285912096,0.629863023758,24859,-576,-114,-977,32760,32760,-32760,35,-3,230,1602,-12800,-10718,-4,0
285923548,0.640643119812,24860,-794,-116,-789,32760,32760,-32760,35,-3,230,1602,-13056,-10979,-1,0
285934999,0.652580976486,24861,-512,-77,-772,32760,32760,-32760,35,-3,230,2298,-12888,-10979,0,0
