Time,SystemTime,Packet,S1GX,S1GY,S1GZ,S1AX,S1AY,S1AZ,S2GX,S2GY,S2GZ,S2AX,S2AY,S2AZ,MX,MY
708724386,1.90734863281e-06,61736,191,-348,-909,32760,32760,-32760,35,-3,230,-13166,-8577,-7149,0,0
708735838,0.0112390518188,61737,247,-280,-952,32760,32760,-32760,35,-3,230,-13166,-8577,-7149,0,0
708747290,0.0217258930206,61738,26,-144,-815,32760,32760,-32760,35,-3,230,-13094,-8455,-7388,0,0
708758740,0.0359349250793,61739,-73,-132,-792,32760,32760,-32760,35,-3,230,-13103,-8512,-7310,0,0
708770192,0.0476360321045,61740,-209,58,-839,32760,32760,-32760,35,-3,230,-13103,-8512,-7310,0,0
708781642,0.0565700531006,61741,-201,154,-908,32760,32760,-32760,35,-3,230,-13083,-8462,-7654,0,0
708793095,0.0687649250031,61742,-38,33,-979,32760,32760,-32760,35,-3,230,-13083,-8462,-7654,0,0
708804545,0.0801720619202,61743,-136,27,-900,32760,32760,-32760,35,-3,230,-13028,-8502,-7388,0,0
708815995,0.0908410549164,61744,-111,-8,-979,32760,32760,-32760,35,-3,230,-13028,-8502,-7388,0,0
708827447,0.103321075439,61745,-96,104,-962,32760,32760,-32760,35,-3,230,-13005,-8553,-7252,0,0
708838900,0.113919973373,61746,-113,82,-940,32760,32760,-32760,35,-3,230,-12991,-8556,-7232,0,0
708850350,0.125865936279,61747,-164,144,-947,32760,32760,-32760,35,-3,230,-12991,-8556,-7232,0,0
708861805,0.136844873428,61748,-92,96,-933,32760,32760,-32760,35,-3,230,-13055,-8499,-7390,0,0
708873255,0.147687911987,61749,53,-105,-940,32760,32760,-32760,35,-3,230,-13055,-8499,-7390,0,0
708884707,0.159559011459,61750,21,-43,-825,32760,32760,-32760,35,-3,230,-13040,-8592,-7331,0,0
708896161,0.170836925507,61751,34,-120,-958,32760,32760,-32760,35,-3,230,-13040,-8592,-7331,0,0
708907611,0.182807922363,61752,-53,-59,-907,32760,32760,-32760,35,-3,230,-13094,-8500,-7440,0,0
708919064,0.193583965302,61753,-18,120,-968,32760,32760,-32760,35,-3,230,-12907,-8516,-7419,0,0
708930514,0.209184885025,61754,-103,49,-871,32760,32760,-32760,35,-3,230,-12907,-8516,-7419,0,0
708941967,0.218652009964,61755,37,-56,-970,32760,32760,-32760,35,-3,230,-12924,-8465,-7320,0,0
708953418,0.228739023209,61756,33,-33,-997,32760,32760,-32760,35,-3,230,-12924,-8465,-7320,0,0
708964870,0.239939928055,61757,-35,46,-930,32760,32760,-32760,35,-3,230,-12893,-8587,-7362,0,0
708976319,0.250915050507,61758,80,-64,-998,32760,32760,-32760,35,-3,230,-12893,-8587,-7362,0,0
708987771,0.267823934555,61759,3,-83,-923,32760,32760,-32760,35,-3,230,-12926,-8553,-7468,0,0
708999223,0.276527881622,61760,-79,-56,-904,32760,32760,-32760,35,-3,230,-13154,-8494,-7420,0,0
709010674,0.286273956299,61761,55,-9,-906,32760,32760,-32760,35,-3,230,-13154,-8494,-7420,0,0
709022126,0.296854972839,61762,-24,6,-849,32760,32760,-32760,35,-3,230,-13059,-8619,-7425,0,0
709033578,0.308985948563,61763,-72,-28,-805,32760,32760,-32760,35,-3,230,-13059,-8619,-7425,0,0
709045030,0.320720911026,61764,-57,-30,-867,32760,32760,-32760,35,-3,230,-13068,-8441,-7335,0,0
709056481,0.331737041473,61765,-81,63,-828,32760,32760,-32760,35,-3,230,-13068,-8441,-7335,0,0
709067934,0.342587947845,61766,-67,4,-877,32760,32760,-32760,35,-3,230,-13014,-8498,-7359,0,0
709079385,0.354621887207,61767,-214,40,-858,32760,32760,-32760,35,-3,230,-13084,-8586,-7328,0,0
709090836,0.365918874741,61768,-36,-9,-963,32760,32760,-32760,35,-3,230,-13084,-8586,-7328,0,0
709102286,0.376595020294,61769,48,45,-918,32760,32760,-32760,35,-3,230,-13032,-8602,-7436,0,0
709113737,0.388555049896,61770,20,35,-990,32760,32760,-32760,35,-3,230,-13032,-8602,-7436,0,0
709125189,0.400362968445,61771,-50,93,-880,32760,32760,-32760,35,-3,230,-12884,-8458,-7319,0,0
709136640,0.412108898163,61772,98,20,-980,32760,32760,-32760,35,-3,230,-12884,-8458,-7319,0,0
709148093,0.422563076019,61773,-109,-93,-952,32760,32760,-32760,35,-3,230,-13035,-8611,-7400,0,0
709159544,0.434972047806,61774,-82,-116,-962,32760,32760,-32760,35,-3,230,-12888,-8611,-7438,0,0
709170998,0.445600986481,61775,-60,75,-931,32760,32760,-32760,35,-3,230,-12888,-8611,-7438,0,0
709182450,0.457557916641,61776,-46,10,-895,32760,32760,-32760,35,-3,230,-13058,-8540,-7466,0,0
709193904,0.47590303421,61777,-89,-111,-901,32760,32760,-32760,35,-3,230,-13058,-8540,-7466,0,0
709205355,0.480812072754,61778,-41,-16,-909,32760,32760,-32760,35,-3,230,-13069,-8486,-7387,0,0
709216808,0.49169588089,61779,-138,-82,-910,32760,32760,-32760,35,-3,230,-13069,-8486,-7387,0,0
709228260,0.510439872742,61780,-140,12,-927,32760,32760,-32760,35,-3,230,-13030,-8559,-7251,0,0
709239712,0.51514005661,61781,-59,-106,-1032,32760,32760,-32760,35,-3,230,-12948,-8596,-7436,0,0
709251167,0.525907039642,61782,-40,4,-896,32760,32760,-32760,35,-3,230,-12948,-8596,-7436,0,0
709262617,0.54251909256,61783,72,87,-897,32760,32760,-32760,35,-3,230,-13113,-8495,-7162,0,0
709274071,0.550128936768,61784,-31,-30,-1021,32760,32760,-32760,35,-3,230,-13113,-8495,-7162,0,0
709285523,0.560621976852,61785,16,57,-886,32760,32760,-32760,35,-3,230,-13016,-8483,-7206,0,0
709296975,0.572041988373,61786,5,-18,-886,32760,32760,-32760,35,-3,230,-13016,-8483,-7206,0,0
709308425,0.584933042526,61787,-159,-66,-860,32760,32760,-32760,35,-3,230,-13049,-8603,-7250,0,0
709319878,0.594685077667,61788,-128,-11,-850,32760,32760,-32760,35,-3,230,-13106,-8562,-7405,0,0
709331328,0.605890989304,61789,-229,67,-883,32760,32760,-32760,35,-3,230,-13106,-8562,-7405,0,0
709342779,0.617589950562,61790,-185,9,-862,32760,32760,-32760,35,-3,230,-12913,-8547,-7320,0,0
709354232,0.628566026688,61791,54,-49,-843,32760,32760,-32760,35,-3,230,-12913,-8547,-7320,0,0
709365682,0.641083955765,61792,69,-101,-831,32760,32760,-32760,35,-3,230,-13028,-8519,-7256,0,0
709377135,0.651959896088,61793,4,-41,-1008,32760,32760,-32760,35,-3,230,-13028,-8519,-7256,0,0
709388585,0.663601875305,61794,-57,-51,-897,32760,32760,-32760,35,-3,230,-12976,-8585,-7381,0,0
709400038,0.674599885941,61795,-286,-39,-871,32760,32760,-32760,35,-3,230,-12967,-8506,-7288,0,0
709411490,0.686583995819,61796,-59,-46,-883,32760,32760,-32760,35,-3,230,-12967,-8506,-7288,0,0
709422942,0.697604894638,61797,-17,-125,-933,32760,32760,-32760,35,-3,230,-12984,-8472,-7308,0,0
709434393,0.709727048874,61798,-24,-29,-911,32760,32760,-32760,35,-3,230,-12984,-8472,-7308,0,0
709445845,0.720618963242,61799,-99,22,-945,32760,32760,-32760,35,-3,230,-13022,-8602,-7461,0,0
709457296,0.732699871063,61800,-72,87,-903,32760,32760,-32760,35,-3,230,-13022,-8602,-7461,0,0
709468747,0.743638038635,61801,-65,137,-1004,32760,32760,-32760,35,-3,230,-13021,-8602,-7363,0,0
709480202,0.754565954208,61802,-73,99,-967,32760,32760,-32760,35,-3,230,-13069,-8537,-7330,0,0
709491652,0.767059087753,61803,-195,107,-962,32760,32760,-32760,35,-3,230,-13069,-8537,-7330,0,0
709503105,0.777900934219,61804,-105,13,-919,32760,32760,-32760,35,-3,230,-13049,-8556,-7241,0,0
709514555,0.789887905121,61805,-138,97,-875,32760,32760,-32760,35,-3,230,-13049,-8556,-7241,0,0
