Time,SystemTime,Packet,S1GX,S1GY,S1GZ,S1AX,S1AY,S1AZ,S2GX,S2GY,S2GZ,S2AX,S2AY,S2AZ,MX,MY
788310982,1.19209289551e-06,68665,177,-411,-853,32760,32760,-32760,35,-3,230,-12358,-8838,-8363,0,0
788322437,0.0112409591675,68666,94,-193,-920,32760,32760,-32760,35,-3,230,-12407,-8738,-8194,0,0
788333889,0.0233399868011,68667,-44,-163,-943,32760,32760,-32760,35,-3,230,-12407,-8738,-8194,0,0
788345342,0.034285068512,68668,-297,101,-879,32760,32760,-32760,35,-3,230,-12336,-8674,-8135,0,0
788356794,0.0460891723633,68669,-351,120,-895,32760,32760,-32760,35,-3,230,-12203,-8665,-8389,0,0
788368250,0.0571300983429,68670,-91,145,-888,32760,32760,-32760,35,-3,230,-12203,-8665,-8389,0,0
788379701,0.0679659843445,68671,57,58,-979,32760,32760,-32760,35,-3,230,-12338,-8637,-8133,0,0
788391154,0.0802390575409,68672,10,-113,-1018,32760,32760,-32760,35,-3,230,-12338,-8637,-8133,0,0
788402604,0.0911810398102,68673,-65,-101,-969,32760,32760,-32760,35,-3,230,-12422,-8768,-8062,0,0
788414056,0.103160142899,68674,28,-15,-998,32760,32760,-32760,35,-3,230,-12422,-8768,-8062,0,0
788425508,0.114552974701,68675,-82,72,-908,32760,32760,-32760,35,-3,230,-12351,-8598,-8208,0,0
788436959,0.127233028412,68676,-27,45,-992,32760,32760,-32760,35,-3,230,-12292,-8756,-8421,0,0
788448413,0.137065172195,68677,-92,5,-1048,32760,32760,-32760,35,-3,230,-12292,-8756,-8421,0,0
788459863,0.149029016495,68678,-45,-36,-1040,32760,32760,-32760,35,-3,230,-12376,-8649,-8453,0,0
788471316,0.160241127014,68679,-112,-108,-1041,32760,32760,-32760,35,-3,230,-12376,-8649,-8453,0,0
788482771,0.171920061111,68680,-105,-35,-899,32760,32760,-32760,35,-3,230,-12426,-8733,-8401,0,0
788494222,0.183350086212,68681,104,-181,-957,32760,32760,-32760,35,-3,230,-12426,-8733,-8401,0,0
788505676,0.194096088409,68682,88,-146,-872,32760,32760,-32760,35,-3,230,-12306,-8683,-8366,0,0
788517126,0.207776069641,68683,62,-127,-930,32760,32760,-32760,35,-3,230,-12430,-8820,-8246,0,0
788528578,0.219464063644,68684,-44,-105,-894,32760,32760,-32760,35,-3,230,-12430,-8820,-8246,0,0
788540030,0.229171991348,68685,27,-229,-936,32760,32760,-32760,35,-3,230,-12499,-8831,-8186,0,0
