Time,SystemTime,Packet,S1GX,S1GY,S1GZ,S1AX,S1AY,S1AZ,S2GX,S2GY,S2GZ,S2AX,S2AY,S2AZ,MX,MY
123403149,1.19209289551e-06,10684,-304,58,-1093,32760,32760,-32760,84,238,224,7504,-3936,-14536,0,0
123414599,0.0119512081146,10685,-219,-2,-980,32760,32760,-32760,84,238,224,7504,-3936,-14536,0,0
123426049,0.0229392051697,10686,-141,32,-948,32760,32760,-32760,84,238,224,7544,-3859,-14672,0,0
123437496,0.0353631973267,10687,-98,-78,-931,32760,32760,-32760,84,238,224,7544,-3859,-14672,0,0
123448946,0.0459890365601,10688,-80,-134,-809,32760,32760,-32760,84,238,224,7421,-3824,-14702,0,-1
123460395,0.0569469928741,10689,-1,-46,-748,32760,32760,-32760,84,238,224,7421,-3824,-14702,0,0
123471844,0.0689940452576,10690,50,76,-785,32760,32760,-32760,84,238,224,7426,-3993,-14672,0,0
123483292,0.0800311565399,10691,31,116,-786,32760,32760,-32760,84,238,224,7203,-3964,-14402,0,0
123494739,0.0922591686249,10692,-65,327,-835,32760,32760,-32760,84,238,224,7203,-3964,-14402,0,0
123506190,0.103025197983,10693,-38,364,-881,32760,32760,-32760,84,238,224,7283,-4007,-14353,0,0
123517638,0.115825176239,10694,-29,382,-902,32760,32760,-32760,84,238,224,7283,-4007,-14353,0,0
123529088,0.126231193542,10695,29,446,-959,32760,32760,-32760,84,238,224,7329,-3959,-14515,0,0
123540536,0.138003110886,10696,-235,551,-986,32760,32760,-32760,84,238,224,7329,-3959,-14515,0,0
123551985,0.148982048035,10697,-10,628,-1013,32760,32760,-32760,84,238,224,7493,-3965,-14765,0,0
123563434,0.159996986389,10698,258,576,-1076,32760,32760,-32760,84,238,224,7559,-3899,-14459,0,0
123574883,0.171936988831,10699,198,542,-1053,32760,32760,-32760,84,238,224,7559,-3899,-14459,0,0
123586333,0.183076143265,10700,373,579,-1060,32760,32760,-32760,84,238,224,7405,-3948,-14804,0,0
123597783,0.196086168289,10701,328,648,-829,32760,32760,-32760,84,238,224,7405,-3948,-14804,0,-1
123609234,0.206008195877,10702,426,742,-849,32760,32760,-32760,84,238,224,7283,-4125,-14748,0,-1
123620682,0.218026161194,10703,483,1131,-902,32760,32760,-32760,84,238,224,7283,-4125,-14748,1,-1
123632135,0.228952169418,10704,540,1277,-949,32760,32760,-32760,84,238,224,7515,-4148,-14315,1,-1
123643587,0.240992069244,10705,663,1396,-951,32760,32760,-32760,84,238,224,7670,-4105,-14919,0,-1
123655038,0.251981019974,10706,787,1450,-858,32760,32760,-32760,84,238,224,7670,-4105,-14919,0,-1
123666487,0.262955188751,10707,880,1301,-772,32760,32760,-32760,84,238,224,7668,-3969,-14607,1,-1
123677939,0.27605009079,10708,1090,1107,-779,32760,32760,-32760,84,238,224,7668,-3969,-14607,0,-1
123689388,0.286041021347,10709,1393,1065,-734,32760,32760,-32760,84,238,224,7769,-4012,-14309,0,-1
123700839,0.298156023026,10710,1488,1144,-703,32760,32760,-32760,84,238,224,7769,-4012,-14309,0,0
123712289,0.308966159821,10711,1568,1086,-716,32760,32760,-32760,84,238,224,7708,-4234,-14310,0,0
123723738,0.320989131927,10712,1418,1298,-938,32760,32760,-32760,84,238,224,7922,-4470,-14224,0,0
123735189,0.332006216049,10713,1212,1537,-934,32760,32760,-32760,84,238,224,7922,-4470,-14224,0,0
123746638,0.343964099884,10714,1016,1622,-953,32760,32760,-32760,84,238,224,7872,-4277,-13948,0,0
123758090,0.355516195297,10715,975,1521,-917,32760,32760,-32760,84,238,224,7872,-4277,-13948,0,0
123769539,0.36701798439,10716,1017,1291,-846,32760,32760,-32760,84,238,224,8177,-4290,-13689,0,0
123780988,0.378112077713,10717,765,1136,-875,32760,32760,-32760,84,238,224,8177,-4290,-13689,0,0
123792437,0.388996124268,10718,644,917,-727,32760,32760,-32760,84,238,224,8581,-4421,-13794,0,-1
123803886,0.400974988937,10719,535,456,-641,32760,32760,-32760,84,238,224,8497,-4482,-13577,0,0
123815336,0.412384033203,10720,310,-32,-594,32760,32760,-32760,84,238,224,8497,-4482,-13577,0,-1
123826786,0.423973083496,10721,166,-455,-560,32760,32760,-32760,84,238,224,8170,-4666,-13846,0,0
123838235,0.436064004898,10722,-123,-647,-655,32760,32760,-32760,84,238,224,8170,-4666,-13846,1,0
123849684,0.446996212006,10723,-105,-1007,-773,32760,32760,-32760,84,238,224,8039,-4749,-13966,0,-1
123861138,0.45795917511,10724,-181,-1035,-834,32760,32760,-32760,84,238,224,8039,-4749,-13966,0,0
123872589,0.470009088516,10725,-522,-867,-839,32760,32760,-32760,84,238,224,8015,-4689,-13793,0,0
123884040,0.481034040451,10726,-759,-770,-957,32760,32760,-32760,84,238,224,7836,-4538,-14120,0,0
123895489,0.492052078247,10727,-1265,-622,-1058,32760,32760,-32760,84,238,224,7836,-4538,-14120,0,0
123906940,0.504073143005,10728,-1333,-636,-1080,32760,32760,-32760,84,238,224,7794,-4324,-14579,0,0
123918390,0.516146183014,10729,-1155,-724,-1061,32760,32760,-32760,84,238,224,7794,-4324,-14579,0,0
123929839,0.52722120285,10730,-904,-691,-983,32760,32760,-32760,84,238,224,7625,-4174,-14614,1,0
123941289,0.538083076477,10731,-452,-509,-733,32760,32760,-32760,84,238,224,7625,-4174,-14614,1,0
123952738,0.550038099289,10732,-520,-291,-626,32760,32760,-32760,84,238,224,7453,-4306,-14489,0,0
123964190,0.561239004135,10733,-442,-111,-725,32760,32760,-32760,84,238,224,7757,-4249,-14455,1,0
