Time,SystemTime,Packet,S1GX,S1GY,S1GZ,S1AX,S1AY,S1AZ,S2GX,S2GY,S2GZ,S2AX,S2AY,S2AZ,MX,MY
160092342,9.53674316406e-07,13876,-141,-298,-892,32760,32760,-32760,84,238,224,8164,-3567,-14214,0,0
160103793,0.0109219551086,13877,-179,-269,-915,32760,32760,-32760,84,238,224,8249,-3494,-13922,0,1
160115241,0.0228698253632,13878,-64,-298,-967,32760,32760,-32760,84,238,224,8249,-3494,-13922,0,0
160126691,0.0338900089264,13879,-57,-248,-885,32760,32760,-32760,84,238,224,8313,-3368,-14428,0,0
160138141,0.0449860095978,13880,-33,-151,-896,32760,32760,-32760,84,238,224,8313,-3368,-14428,0,0
160149589,0.0569248199463,13881,28,-158,-892,32760,32760,-32760,84,238,224,8114,-3442,-14302,0,0
160161040,0.0679159164429,13882,46,-289,-950,32760,32760,-32760,84,238,224,8251,-3422,-14181,0,0
160172488,0.0812468528748,13883,139,-241,-522,32760,32760,-32760,84,238,224,8251,-3422,-14181,0,0
160183938,0.0909628868103,13884,214,-211,-801,32760,32760,-32760,84,238,224,8181,-3414,-14154,0,0
160195387,0.10320687294,13885,206,77,-849,32760,32760,-32760,84,238,224,8181,-3414,-14154,0,0
160206838,0.113862991333,13886,60,-84,-802,32760,32760,-32760,84,238,224,8257,-3575,-14318,0,1
160218289,0.125880002975,13887,49,-144,-882,32760,32760,-32760,84,238,224,8257,-3575,-14318,0,0
160229739,0.137318849564,13888,369,-170,-1006,32760,32760,-32760,84,238,224,8223,-3518,-14114,0,0
160241188,0.147888898849,13889,234,-60,-1015,32760,32760,-32760,84,238,224,8318,-3646,-14350,0,0
160252638,0.161231994629,13890,125,-196,-960,32760,32760,-32760,84,238,224,8318,-3646,-14350,0,0
160264087,0.170883893967,13891,-21,-183,-959,32760,32760,-32760,84,238,224,8505,-3583,-14125,0,0
160275535,0.182890892029,13892,32,-176,-988,32760,32760,-32760,84,238,224,8505,-3583,-14125,0,0
160286985,0.193943023682,13893,61,-270,-953,32760,32760,-32760,84,238,224,8380,-3506,-13842,0,0
160298433,0.205893993378,13894,-157,-421,-938,32760,32760,-32760,84,238,224,8380,-3506,-13842,0,0
160309885,0.217142820358,13895,-166,-419,-909,32760,32760,-32760,84,238,224,8209,-3626,-14165,0,0
160321335,0.228890895844,13896,-207,-561,-1038,32760,32760,-32760,84,238,224,8202,-3603,-14336,0,0
160332786,0.241055965424,13897,-248,-554,-868,32760,32760,-32760,84,238,224,8202,-3603,-14336,0,0
160344235,0.251992940903,13898,-88,-756,-835,32760,32760,-32760,84,238,224,8285,-3451,-14259,0,1
160355684,0.262945890427,13899,-101,-882,-873,32760,32760,-32760,84,238,224,8285,-3451,-14259,1,0
160367133,0.273864984512,13900,26,-1020,-711,32760,32760,-32760,84,238,224,8227,-3403,-14121,0,0
160378582,0.285893917084,13901,251,-1273,-768,32760,32760,-32760,84,238,224,8227,-3403,-14121,0,1
160390033,0.296864032745,13902,238,-1231,-717,32760,32760,-32760,84,238,224,8008,-3519,-14563,0,0
160401484,0.308964014053,13903,299,-1011,-663,32760,32760,-32760,84,238,224,7993,-3546,-14381,0,0
160412937,0.32114982605,13904,395,-1078,-750,32760,32760,-32760,84,238,224,7993,-3546,-14381,0,1
160424386,0.331889867783,13905,425,-899,-782,32760,32760,-32760,84,238,224,7851,-3621,-14411,0,0
