Time,SystemTime,Packet,S1GX,S1GY,S1GZ,S1AX,S1AY,S1AZ,S2GX,S2GY,S2GZ,S2AX,S2AY,S2AZ,MX,MY
91951525,0.0,7948,-203,-151,-1065,32760,32760,-32760,84,238,224,7783,-4042,-14206,0,0
91962972,0.0120370388031,7949,-370,-14,-1035,32760,32760,-32760,84,238,224,7794,-3884,-14189,0,0
91974421,0.0229609012604,7950,-240,-24,-981,32760,32760,-32760,84,238,224,7794,-3884,-14189,0,0
91985869,0.035336971283,7951,-282,46,-914,32760,32760,-32760,84,238,224,7647,-3909,-14353,0,1
91997317,0.0460259914398,7952,-308,28,-1025,32760,32760,-32760,84,238,224,7647,-3909,-14353,0,0
92008767,0.0574600696564,7953,-276,98,-873,32760,32760,-32760,84,238,224,7790,-3946,-14220,0,0
92020215,0.0689709186554,7954,-267,189,-961,32760,32760,-32760,84,238,224,7816,-3924,-14760,0,0
92031665,0.0800058841705,7955,-324,-63,-944,32760,32760,-32760,84,238,224,7816,-3924,-14760,0,0
92043114,0.092071056366,7956,-117,104,-886,32760,32760,-32760,84,238,224,7912,-3997,-14364,0,0
92054562,0.102967977524,7957,-127,247,-894,32760,32760,-32760,84,238,224,7912,-3997,-14364,0,0
92066010,0.116199016571,7958,-170,168,-803,32760,32760,-32760,84,238,224,7859,-3900,-14347,0,0
92077460,0.125993013382,7959,-51,270,-774,32760,32760,-32760,84,238,224,7859,-3900,-14347,0,0
92088908,0.138257980347,7960,11,146,-823,32760,32760,-32760,84,238,224,7833,-3943,-14351,0,0
92100358,0.149012088776,7961,76,75,-889,32760,32760,-32760,84,238,224,7811,-3929,-14241,0,0
92111805,0.160007953644,7962,-226,-79,-906,32760,32760,-32760,84,238,224,7811,-3929,-14241,0,0
92123255,0.172291040421,7963,-92,-230,-961,32760,32760,-32760,84,238,224,7942,-3906,-14249,0,0
92134703,0.182991981506,7964,-47,-245,-845,32760,32760,-32760,84,238,224,7942,-3906,-14249,0,0
92146151,0.196002006531,7965,-219,-303,-738,32760,32760,-32760,84,238,224,7900,-3891,-14527,0,0
92157600,0.206002950668,7966,-248,-301,-821,32760,32760,-32760,84,238,224,7900,-3891,-14527,0,0
92169048,0.217973947525,7967,-233,-284,-795,32760,32760,-32760,84,238,224,7684,-3789,-14328,0,0
92180497,0.229017972946,7968,-9,-288,-763,32760,32760,-32760,84,238,224,7825,-3967,-14242,0,-1
92191945,0.241013050079,7969,-194,-168,-803,32760,32760,-32760,84,238,224,7825,-3967,-14242,0,0
92203393,0.252506971359,7970,-163,-157,-860,32760,32760,-32760,84,238,224,7786,-3997,-14459,-1,0
92214842,0.262990951538,7971,-315,-125,-803,32760,32760,-32760,84,238,224,7786,-3997,-14459,0,0
92226289,0.275988101959,7972,-200,-230,-938,32760,32760,-32760,84,238,224,7794,-3954,-14632,0,0
92237738,0.285978078842,7973,-272,-123,-970,32760,32760,-32760,84,238,224,7794,-3954,-14632,0,0
92249188,0.297976970673,7974,-273,-152,-905,32760,32760,-32760,84,238,224,7634,-4014,-14466,-1,1
92260638,0.308976888657,7975,-326,-220,-869,32760,32760,-32760,84,238,224,7334,-3885,-14431,0,0
92272087,0.320996046066,7976,-459,-88,-959,32760,32760,-32760,84,238,224,7334,-3885,-14431,0,0
92283538,0.331950902939,7977,-434,81,-960,32760,32760,-32760,84,238,224,7330,-3858,-14287,0,0
92294988,0.344049930573,7978,-135,99,-1016,32760,32760,-32760,84,238,224,7330,-3858,-14287,0,1
92306438,0.356297969818,7979,-132,338,-979,32760,32760,-32760,84,238,224,7592,-3830,-14643,0,0
92317886,0.366015911102,7980,-391,699,-940,32760,32760,-32760,84,238,224,7592,-3830,-14643,0,0
92329334,0.378038883209,7981,-260,652,-903,32760,32760,-32760,84,238,224,7977,-3859,-14540,0,-1
92340784,0.38904094696,7982,-168,632,-837,32760,32760,-32760,84,238,224,7977,-3734,-14447,0,0
92352232,0.401000022888,7983,-118,548,-854,32760,32760,-32760,84,238,224,7977,-3734,-14447,0,-1
92363681,0.412014961243,7984,114,320,-787,32760,32760,-32760,84,238,224,7862,-3746,-14474,0,0
